feature,Negative pair_mean,Positive pair_mean,Negative pair_median,Positive pair_median
message_count,498.96,568.4,308.5,579.5
duration_hours,696.838,817.551,647.048,662.081
reciprocity_ratio,0.944,0.842,0.958,0.873
mean_length,52.647,20.903,52.682,19.581
median_length,44.58,16.5,44.5,15.5
night_ratio,0.167,0.266,0.0,0.163
evening_ratio,0.284,0.586,0.146,0.717
weekend_ratio,0.277,0.186,0.195,0.163
mean_gap_minutes,106.498,92.868,102.014,90.511
bursty_gap_ratio,0.977,0.965,0.975,0.963
message_share_in_scenario,0.088,0.12,0.06,0.101
