experiment,fold_id,test_folder,test_scenarios,top1_accuracy,mean_reciprocal_rank,mean_positive_rank,precision_at_top1,recall_at_top1,f1_at_top1,roc_auc,pr_auc
baseline_highest_message_count,1,Dataset-1,2,0.0,0.41666666666666663,2.5,0.0,0.0,0.0,0.825,0.30952380952380953
baseline_longest_duration,1,Dataset-1,2,0.5,0.75,1.5,0.5,0.5,0.5,0.85,0.39285714285714285
baseline_lowest_mean_length,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_evening_ratio,1,Dataset-1,2,0.5,0.55,5.5,0.5,0.5,0.5,0.6,0.5555555555555556
baseline_highest_short_message_ratio,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_weighted_contextual_heuristic,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_message_count,2,Dataset-2,2,0.0,0.29166666666666663,3.5,0.0,0.0,0.0,0.775,0.24285714285714285
baseline_longest_duration,2,Dataset-2,2,0.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.8,0.29166666666666663
baseline_lowest_mean_length,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_evening_ratio,2,Dataset-2,2,0.5,0.5454545454545454,6.0,0.5,0.5,0.5,0.7,0.5714285714285714
baseline_highest_short_message_ratio,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
baseline_weighted_contextual_heuristic,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_message_count,3,Dataset-3,2,0.0,0.18055555555555555,6.5,0.0,0.0,0.0,0.44999999999999996,0.15000000000000002
baseline_longest_duration,3,Dataset-3,2,0.0,0.3,6.0,0.0,0.0,0.0,0.5,0.2976190476190476
baseline_lowest_mean_length,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_evening_ratio,3,Dataset-3,2,0.5,0.5555555555555556,5.0,0.5,0.5,0.5,0.8,0.6
baseline_highest_short_message_ratio,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_weighted_contextual_heuristic,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_message_count,4,Dataset-4,2,0.0,0.18055555555555555,6.5,0.0,0.0,0.0,0.42500000000000004,0.1125
baseline_longest_duration,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,0.775,0.5909090909090909
baseline_lowest_mean_length,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_evening_ratio,4,Dataset-4,2,0.5,0.75,1.5,0.5,0.5,0.5,0.95,0.5833333333333333
baseline_highest_short_message_ratio,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_weighted_contextual_heuristic,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_message_count,5,Dataset-5,2,0.0,0.5,2.0,0.0,0.0,0.0,0.925,0.5
baseline_longest_duration,5,Dataset-5,2,0.0,0.5,2.0,0.0,0.0,0.0,0.775,0.35
baseline_lowest_mean_length,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_highest_evening_ratio,5,Dataset-5,2,0.5,0.75,1.5,0.5,0.5,0.5,0.975,0.8333333333333333
baseline_highest_short_message_ratio,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline_weighted_contextual_heuristic,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
