experiment,model,feature_set,fold_id,test_folder,test_scenarios,top1_accuracy,mean_reciprocal_rank,mean_positive_rank,precision_at_top1,recall_at_top1,f1_at_top1,roc_auc,pr_auc
random_forest_base,random_forest,base,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_base,svm_rbf,base,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_base,mlp_small,base,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_base,random_forest,base,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_base,svm_rbf,base,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_base,mlp_small,base,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_base,random_forest,base,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_base,svm_rbf,base,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_base,mlp_small,base,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_base,random_forest,base,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_base,svm_rbf,base,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_base,mlp_small,base,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_base,random_forest,base,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_base,svm_rbf,base,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_base,mlp_small,base,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_enhanced,random_forest,enhanced,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_enhanced,svm_rbf,enhanced,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_enhanced,mlp_small,enhanced,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_enhanced,random_forest,enhanced,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_enhanced,svm_rbf,enhanced,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_enhanced,mlp_small,enhanced,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_enhanced,random_forest,enhanced,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_enhanced,svm_rbf,enhanced,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_enhanced,mlp_small,enhanced,3,Dataset-3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_enhanced,random_forest,enhanced,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_enhanced,svm_rbf,enhanced,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_enhanced,mlp_small,enhanced,4,Dataset-4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_enhanced,random_forest,enhanced,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_enhanced,svm_rbf,enhanced,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_enhanced,mlp_small,enhanced,5,Dataset-5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_no_length,random_forest,no_length,1,Dataset-1,2,0.5,0.625,2.5,0.5,0.5,0.5,0.9249999999999999,0.7
svm_rbf_no_length,svm_rbf,no_length,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_no_length,mlp_small,no_length,1,Dataset-1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random_forest_no_length,random_forest,no_length,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svm_rbf_no_length,svm_rbf,no_length,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_small_no_length,mlp_small,no_length,2,Dataset-2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
