model,candidate_id,inner_valid_folder,top1_accuracy,mean_reciprocal_rank,mean_positive_rank,precision_at_top1,recall_at_top1,f1_at_top1,roc_auc,pr_auc,outer_fold_id,outer_test_folder
random_forest,rf_depth3_leaf2,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depth3_leaf2,Dataset-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depth3_leaf2,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depth3_leaf2,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1,Dataset-1
random_forest,rf_depth4_leaf2,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depth4_leaf2,Dataset-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depth4_leaf2,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depth4_leaf2,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1,Dataset-1
random_forest,rf_depthNone_leaf1,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depthNone_leaf1,Dataset-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depthNone_leaf1,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
random_forest,rf_depthNone_leaf1,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C0.1,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C0.1,Dataset-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C0.1,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C0.1,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C1,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C1,Dataset-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C1,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C1,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C10,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C10,Dataset-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C10,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
svm_rbf,svm_C10,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_16_alpha0.01,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_16_alpha0.01,Dataset-3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_16_alpha0.01,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_16_alpha0.01,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_32_16_alpha0.01,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_32_16_alpha0.01,Dataset-3,0.5,0.625,2.5,0.5,0.5,0.5,0.9249999999999999,0.7,1,Dataset-1
mlp_small,mlp_32_16_alpha0.01,Dataset-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_32_16_alpha0.01,Dataset-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
mlp_small,mlp_32_16_alpha0.001,Dataset-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Dataset-1
